system:index,month,ndvi,year,.geo
33,10.0,0.15746798362771416,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,11.0,0.09601386965667055,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,12.0,0.08564975748096734,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1.0,0.059668698387222746,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.0,0.0671722723759986,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3.0,0.07987165163577171,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,4.0,0.11759498661955138,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,5.0,0.1876222268144413,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,6.0,0.266539405472985,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,7.0,0.2778408413798281,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,8.0,0.27078070802784465,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,9.0,0.23137822556797508,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,10.0,0.15736270995556503,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,11.0,0.0876852447592179,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,12.0,0.05880382244864534,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1.0,0.05334612699389861,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2.0,0.04674835724335985,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,3.0,0.06695117917727261,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,4.0,0.10349833000957505,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5.0,0.18026809685463888,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,6.0,0.25008375732429894,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,7.0,0.28199934785214875,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,8.0,0.27393145638241595,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,9.0,0.23284676967192347,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,10.0,0.17318045861359513,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,11.0,0.09410445817561044,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,12.0,0.060160421386935656,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
